,timestamp,month,year,day,time_period,date_uuid
0,22:00:06,9,2012.0,19,Evening,3b7ca996-37f9-433f-b6d0-ce8391b615ad
1,22:44:06,2,1997.0,10,Evening,adc86836-6c35-49ca-bb0d-65b6507a00fa
2,10:05:37,4,1994.0,15,Morning,5ff791bf-d8e0-4f86-8ceb-c7b60bef9b31
3,17:29:27,11,2001.0,6,Midday,1b01fcef-5ab9-404c-b0d4-1e75a0bd19d8
4,22:40:33,12,2015.0,31,Evening,dfa907c1-f6c5-40f0-aa0d-40ed77ac5a44
5,02:03:25,8,2002.0,2,Late_Hours,cea14ebe-06b2-4cee-8394-972101419375
6,20:41:58,1,1993.0,14,Evening,5b72f016-349c-4649-aea0-bcc4fd1b9ee6
7,22:36:19,3,2006.0,15,Evening,5d598d23-ee71-4fc9-a895-77fd3891a7c4
8,18:06:15,12,1994.0,14,Evening,ad50dbd6-b736-4ffe-a745-6ebed29e4cdf
9,16:12:22,11,1994.0,1,Midday,92fc92a3-c4a0-49a4-a2ee-40a37f9d11dc
10,21:21:31,11,1994.0,21,Evening,21451b39-3bac-4106-b238-8d78c6a08692
11,19:23:21,8,2004.0,3,Evening,08f17ff8-8595-4c23-a0b4-4a16ffd5ec27
12,20:46:08,11,2015.0,16,Evening,940cb999-6d4f-480b-9933-3465353c4caf
13,19:59:46,7,2008.0,25,Evening,9f698beb-8bf6-4b87-8301-3e3579264031
14,09:30:07,2,2006.0,10,Morning,b87d2eb2-8d05-4961-bc27-2ba7d1022d5a
15,20:56:48,3,2021.0,17,Evening,cd6a92c4-77f7-4a61-9665-85d9c3026b35
16,23:59:25,7,2018.0,12,Evening,503ba9b2-99bc-4601-92dc-54ece4ad64b9
17,19:13:58,11,2009.0,23,Evening,b7436486-0d59-46b9-bd92-091fa3fca022
18,20:07:37,11,2006.0,26,Evening,b9018015-cb5b-4f57-abbb-5e2088aaf21b
19,16:33:01,9,2020.0,15,Midday,a360d20d-befd-40f3-90df-bda108a05546
20,20:31:35,8,1994.0,24,Evening,a495c2ae-9952-4274-b8d1-eaca990ef8e6
21,22:18:05,9,2015.0,26,Evening,db234d23-d4da-455e-ba21-c4ada6625c32
22,14:13:38,7,2017.0,18,Midday,eea4ccbf-3767-4c4f-bf6d-f4867dfbf4ec
23,08:04:26,10,2019.0,6,Morning,4f340f2d-ea15-4b75-bfc4-5872dafcc152
24,13:11:02,2,2021.0,4,Midday,4c255366-8487-4f53-947e-8ef884bdc9f5
25,22:54:09,2,2000.0,3,Evening,626a359f-8ec8-4a71-8c01-a3ca7a640aa7
26,18:54:24,7,2012.0,2,Evening,58d7833b-0047-4054-9953-1d97d4e36be4
27,12:44:15,4,2006.0,11,Midday,06919f70-0641-46b0-adb1-d88f62c837d1
28,05:46:03,10,1993.0,22,Late_Hours,6acb0160-0a0b-42f1-b8bb-989cb614b71e
29,19:19:15,11,2021.0,14,Evening,fd6bb77d-3d0c-4d9c-9c7c-126d588fb705
30,18:05:15,5,2007.0,17,Evening,015eedc6-87f3-4973-bc43-f951a1eeef28
31,19:55:53,12,1997.0,16,Evening,3695cbb4-c3f1-4745-8d01-4606df391119
32,06:24:55,8,2018.0,12,Morning,aeb0bf1e-1fcc-449b-b5d6-c7185d20b6e3
33,19:45:37,3,2013.0,7,Evening,0582f5be-c51a-43ae-92cc-22a39aec5f0b
34,14:48:44,7,2006.0,23,Midday,d1857d36-d342-4626-8ea9-849156d13b08
35,18:29:58,6,2010.0,30,Evening,ae1b1323-9fa7-467e-a3fb-816d748c4b2f
36,20:58:24,8,1995.0,7,Evening,58a47e39-6a6c-422e-a867-5c404b2afc51
37,21:34:57,10,2008.0,15,Evening,0f284b3f-d145-472a-beca-421a68733ba1
38,22:44:52,7,2005.0,15,Evening,ce4c2d75-d66c-4710-98c5-74ec86764556
39,19:15:07,12,2021.0,14,Evening,46eb96ac-65cd-449d-b489-ccdcfe3f6c46
40,19:43:01,7,2004.0,7,Evening,9379cf5a-1387-4c57-8c75-dcf61765d369
41,21:13:19,3,2007.0,3,Evening,29e1b6bf-1ad2-45e7-bce5-f3fce45143fe
42,09:18:05,8,2008.0,8,Morning,175764bc-1f57-4518-96c6-542ecc0d75fa
43,22:24:12,3,2005.0,7,Evening,ef6bd57f-4ee8-413f-a17a-d2f65ec2c01b
44,16:06:58,8,2012.0,30,Midday,b21eca1a-e840-4899-8af3-757ab680c6f0
45,22:28:54,6,1994.0,14,Evening,4f4297b1-d9d7-4859-9973-8128299e535e
46,03:51:11,3,2015.0,1,Late_Hours,f5f392ca-db0b-4edd-ae04-24d0a67e17c9
47,14:18:12,9,1999.0,13,Midday,b03a77d7-ee2a-4308-b21d-f43bfb7894cd
48,18:22:27,3,2003.0,15,Evening,d87bd606-c49c-4440-b910-8ace3902fc25
49,23:55:48,7,2005.0,4,Evening,9ef32f84-ade0-470c-8f42-88525c40a743
50,19:21:12,3,1996.0,16,Evening,c28d3e91-755f-435c-bbfb-4c6cb733e3f3
51,21:08:05,8,2008.0,1,Evening,c0def7b7-acf0-4827-9ff9-e552a867b1e5
52,20:13:39,11,2012.0,16,Evening,ca1b3a4f-8936-4e9e-bad5-f2fec87ff360
53,18:24:44,12,1993.0,8,Evening,7c64562c-d0ca-420e-bbaf-9522252897f2
54,19:29:38,2,2006.0,12,Evening,7ac47f9c-8910-48c9-9b9d-37afc9863350
55,21:38:10,3,2012.0,26,Evening,f7ab68fb-cf91-4484-b4b6-8a04d0593683
56,19:46:34,10,2003.0,14,Evening,2a01439a-3df0-4c12-9c71-9675b9b3d833
57,21:35:00,1,2009.0,15,Evening,9a64f000-491e-4111-9001-62ccd0c7e667
58,14:08:35,7,2008.0,27,Midday,44356dea-b98c-48a6-891e-043549aa10cb
59,21:53:14,10,2015.0,20,Evening,bb0c31db-7ed4-4eea-892a-67abd3c9e135
60,09:14:28,10,2014.0,1,Morning,d8cd20e9-33e9-49e4-8e17-06ba03ce668e
61,20:11:54,6,2022.0,27,Evening,12e3a730-a5ab-4c94-9d5f-e722962487de
62,18:42:32,11,2013.0,3,Evening,9dd03960-04f3-4166-bb56-40a8ea674dec
63,18:55:51,6,2017.0,16,Evening,8ae38194-039e-466e-a944-1e2d04569e7a
64,18:29:03,6,2013.0,16,Evening,9b25b0c6-2261-4856-b52f-8e36b8b54c40
65,19:35:34,4,2020.0,2,Evening,e3af723e-e49a-49d6-911b-f554193168f4
66,18:14:44,5,2012.0,17,Evening,c376dd51-33ee-4c37-9089-f0abe475f90a
67,03:55:34,3,2000.0,24,Late_Hours,cf005647-8182-46b9-b928-b71d716a5ab9
68,19:32:08,1,2009.0,29,Evening,cb36abd9-d384-4716-9935-7cdc47ab7ab6
69,20:01:19,9,2012.0,1,Evening,7a3ffc9a-00bf-420c-8172-76c2adf944e7
70,23:07:19,10,1994.0,30,Evening,8782d06e-4ba6-4136-b7df-c506c0e8536b
71,21:35:23,9,2022.0,25,Evening,efb47260-e6d5-4b51-818c-52bc796e00e7
72,18:58:26,7,1993.0,23,Evening,7537bf77-d811-479e-8004-30968e30f170
73,07:17:43,1,2019.0,29,Morning,32f4882c-32f4-4ee9-b8e7-d0b236c7a6ea
74,21:46:46,4,2021.0,14,Evening,3e60f919-3c9d-443e-9287-0972620e7b26
75,23:43:13,10,2002.0,25,Evening,3f1ef016-0a4a-4b84-b7f3-f65b7b57348a
76,22:17:42,2,2018.0,9,Evening,3eb30309-d45b-44af-9741-d9675abca750
